duration	protocol_type	service	flag	src_bytes	dst_bytes	land	wrong_fragment	urgent	hot	num_failed_logins	logged_in	num_compromised	root_shell	su_attempted	num_root	num_file_creations	num_shells	num_access_files	num_outbound_cmds	is_host_login	is_guest_login	count	srv_count	serror_rate	srv_serror_rate	rerror_rate	srv_rerror_rate	same_srv_rate	diff_srv_rate	srv_diff_host_rate	dst_host_count	dst_host_srv_count	dst_host_same_srv_rate	dst_host_diff_srv_rate	dst_host_same_src_port_rate	dst_host_srv_diff_host_rate	dst_host_serror_rate	dst_host_srv_serror_rate	dst_host_rerror_rate	dst_host_srv_rerror_rate	class
con	sym	sym	sym	con	con	sym	con	con	con	con	sym	con	con	con	con	con	con	con	con	sym	sym	con	con	con	con	con	con	con	con	con	con	con	con	con	con	con	con	con	con	con	sym
0	tcp	http	SF	181	5450	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	8	0.00	0.00	0.00	0.00	1.00	0.00	0.00	9	9	1.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	239	486	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	8	0.00	0.00	0.00	0.00	1.00	0.00	0.00	19	19	1.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	235	1337	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	8	0.00	0.00	0.00	0.00	1.00	0.00	0.00	29	29	1.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	219	1337	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0.00	0.00	0.00	0.00	1.00	0.00	0.00	39	39	1.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	217	2032	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0.00	0.00	0.00	0.00	1.00	0.00	0.00	49	49	1.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	217	2032	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0.00	0.00	0.00	0.00	1.00	0.00	0.00	59	59	1.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	212	1940	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0.00	0.00	0.00	0.00	1.00	0.00	1.00	1	69	1.00	0.00	1.00	0.04	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	159	4087	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	0.00	0.00	0.00	0.00	1.00	0.00	0.00	11	79	1.00	0.00	0.09	0.04	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	210	151	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	8	0.00	0.00	0.00	0.00	1.00	0.00	0.00	8	89	1.00	0.00	0.12	0.04	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	212	786	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	8	8	0.00	0.00	0.00	0.00	1.00	0.00	0.00	8	99	1.00	0.00	0.12	0.05	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	210	624	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	18	0.00	0.00	0.00	0.00	1.00	0.00	0.00	18	109	1.00	0.00	0.06	0.05	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	177	1985	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	28	119	1.00	0.00	0.04	0.04	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	222	773	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	11	0.00	0.00	0.00	0.00	1.00	0.00	0.00	38	129	1.00	0.00	0.03	0.04	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	256	1169	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	0.00	0.00	0.00	0.00	1.00	0.00	0.00	4	139	1.00	0.00	0.25	0.04	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	241	259	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	14	149	1.00	0.00	0.07	0.04	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	260	1837	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	11	0.00	0.00	0.00	0.00	1.00	0.00	0.00	24	159	1.00	0.00	0.04	0.04	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	241	261	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0.00	0.00	0.00	0.00	1.00	0.00	0.00	34	169	1.00	0.00	0.03	0.04	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	257	818	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	12	0.00	0.00	0.00	0.00	1.00	0.00	0.00	44	179	1.00	0.00	0.02	0.03	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	233	255	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	8	0.00	0.00	0.00	0.00	1.00	0.00	0.25	54	189	1.00	0.00	0.02	0.03	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	233	504	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	0.00	0.00	0.00	0.00	1.00	0.00	0.00	64	199	1.00	0.00	0.02	0.03	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	256	1273	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	17	0.00	0.00	0.00	0.00	1.00	0.00	0.00	74	209	1.00	0.00	0.01	0.03	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	234	255	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	0.00	0.00	0.00	0.00	1.00	0.00	0.00	84	219	1.00	0.00	0.01	0.03	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	241	259	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	12	0.00	0.00	0.00	0.00	1.00	0.00	0.00	94	229	1.00	0.00	0.01	0.03	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	239	968	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	0.00	0.00	0.00	0.00	1.00	0.00	0.00	3	239	1.00	0.00	0.33	0.03	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	245	1919	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	13	0.00	0.00	0.00	0.00	1.00	0.00	0.00	13	249	1.00	0.00	0.08	0.03	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	248	2129	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	23	0.00	0.00	0.00	0.00	1.00	0.00	0.00	23	255	1.00	0.00	0.04	0.03	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	354	1752	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0.00	0.00	0.00	0.00	1.00	0.00	0.00	5	255	1.00	0.00	0.20	0.04	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	193	3991	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1	255	1.00	0.00	1.00	0.05	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	214	14959	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0.00	0.00	0.00	0.00	1.00	0.00	0.00	11	255	1.00	0.00	0.09	0.05	0.00	0.00	0.00	0.00	normal
0	tcp	http	SF	212	1309	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	10	0.00	0.00	0.00	0.00	1.00	0.00	0.20	21	255	1.00	0.00	0.05	0.05	0.00	0.00	0.00	0.00	normal
